id,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans,created_at
17216,AI & ML,Python,Easy,Module for regular expressions:,re,regex,regexp,match,A,2026-07-05 11:34:19.606476+05:30
17217,AI & ML,Python,Easy,os.path.join() does:,Safely joins file path components,Joins lists,Concatenates strings,Opens files,A,2026-07-05 11:34:19.606476+05:30
17218,AI & ML,Python,Medium,pickle module does:,Serializes/deserializes Python objects,Handles images,Manages dates,Creates databases,A,2026-07-05 11:34:19.606476+05:30
17219,AI & ML,Python,Medium,Virtual environment in Python:,Isolated Python environment with its own packages,Shared global env,Cloud-based env,Test env only,A,2026-07-05 11:34:19.606476+05:30
17220,AI & ML,Python,Medium,__init__.py makes:,Directory into a Python package,Initializes classes,Defines main,Imports modules,A,2026-07-05 11:34:19.606476+05:30
17221,AI & ML,Python,Medium,'self' in a class:,Current instance of the class,Parent class,Class itself,Global variable,A,2026-07-05 11:34:19.606476+05:30
17222,AI & ML,Python,Medium,__str__ method:,User-friendly string representation of object,Constructor,Destructor,Comparison method,A,2026-07-05 11:34:19.606476+05:30
17223,AI & ML,Python,Medium,Method overriding:,Subclass redefines parent class method,Creating new methods,Deleting methods,Calling parent,A,2026-07-05 11:34:19.606476+05:30
17224,AI & ML,Python,Medium,Multiple inheritance:,Class inherits from more than one parent,Single inheritance,Method reuse,Two identical classes,A,2026-07-05 11:34:19.606476+05:30
17225,AI & ML,Python,Hard,MRO (Method Resolution Order):,Order Python looks up methods in inheritance hierarchy,Order of method calls,Order of attribute access,Import order,A,2026-07-05 11:34:19.606476+05:30
17226,AI & ML,Python,Medium,super() does:,Calls parent class method,Deletes parent,Creates superclass,Imports parent,A,2026-07-05 11:34:19.606476+05:30
17227,AI & ML,Python,Hard,Property in Python:,Manages attribute access via getter/setter methods,Class variable,Module attribute,External file,A,2026-07-05 11:34:19.606476+05:30
17228,AI & ML,Python,Hard,@staticmethod vs @classmethod:,staticmethod: no class/instance access; classmethod: gets class as first arg,Both same,staticmethod needs cls,classmethod has no self,A,2026-07-05 11:34:19.606476+05:30
17229,AI & ML,Python,Hard,Python garbage collection:,Reference counting + cyclic GC,Manual management,OS-level,Stack-based,A,2026-07-05 11:34:19.606476+05:30
17230,AI & ML,Python,Medium,itertools module:,Efficient iterators for looping,Database connections,Math operations,File I/O,A,2026-07-05 11:34:19.606476+05:30
17231,AI & ML,Python,Medium,collections module:,Specialized container datatypes,Basic containers,File handling,Network ops,A,2026-07-05 11:34:19.606476+05:30
17232,AI & ML,Python,Hard,namedtuple:,Immutable sequence with named fields,Mutable dictionary,Regular tuple,Named list,A,2026-07-05 11:34:19.606476+05:30
17233,AI & ML,Python,Hard,defaultdict:,Dict providing default values for missing keys,Ordered dict,Read-only dict,Shared dict,A,2026-07-05 11:34:19.606476+05:30
17234,AI & ML,Python,Medium,Counter in collections:,Counts occurrences of hashable items,Counts file lines,Counts iterations,Counts function calls,A,2026-07-05 11:34:19.606476+05:30
17235,AI & ML,Python,Easy,json.dumps():,Converts Python object to JSON string,Reads JSON from file,Parses JSON string,Deletes JSON keys,A,2026-07-05 11:34:19.606476+05:30
17236,AI & ML,Python,Easy,json.loads():,Parses JSON string to Python object,Writes JSON to file,Dumps to JSON,Loads JSON file,A,2026-07-05 11:34:19.606476+05:30
17237,AI & ML,Python,Medium,== vs 'is' in Python:,== checks value; 'is' checks identity,Both check values,Both check identity,== checks type,A,2026-07-05 11:34:19.606476+05:30
17238,AI & ML,Python,Hard,Shallow copy vs deep copy:,Shallow copies reference; deep copies all nested objects,Both copy all,Shallow copies all,Deep copies top level,A,2026-07-05 11:34:19.606476+05:30
17239,AI & ML,Python,Easy,from module import function:,Imports specific function from module,Imports all,Imports module only,Requires reload,A,2026-07-05 11:34:19.606476+05:30
17240,AI & ML,Python,Easy,Output of 2**10:,1024,20,100,512,A,2026-07-05 11:34:19.606476+05:30
17241,AI & ML,Python,Medium,zip() does:,Combines two iterables element-wise,Compresses files,Sorts lists,Merges by appending,A,2026-07-05 11:34:19.606476+05:30
17242,AI & ML,Python,Easy,enumerate() does:,Adds index to iterable elements,Counts elements,Removes duplicates,Sorts by index,A,2026-07-05 11:34:19.606476+05:30
17243,AI & ML,Python,Medium,append() vs extend():,append adds one item; extend adds multiple items,Both add one,Both add multiple,extend adds at start,A,2026-07-05 11:34:19.606476+05:30
17244,AI & ML,Python,Easy,sorted() returns:,New sorted list,Sorted in-place,Tuple,Generator,A,2026-07-05 11:34:19.606476+05:30
17245,AI & ML,Python,Easy,List slicing:,Extracts sub-list using indices,Deletes elements,Sorts list,Copies whole list,A,2026-07-05 11:34:19.606476+05:30
17246,AI & ML,Python,Medium,frozenset is:,Immutable version of set,Ordered set,Sorted set,Set with None,A,2026-07-05 11:34:19.606476+05:30
17247,AI & ML,Python,Medium,Empty containers are:,Falsy in Python,Truthy,Neither,Depends on type,A,2026-07-05 11:34:19.606476+05:30
17248,AI & ML,Python,Medium,assert does:,Tests condition; raises AssertionError if False,Logs message,Breaks code,Skips block,A,2026-07-05 11:34:19.606476+05:30
17249,AI & ML,Python,Easy,finally in try-except:,Runs regardless of exception,Catches all,Raises exceptions,Skips code,A,2026-07-05 11:34:19.606476+05:30
17250,AI & ML,Python,Hard,Context manager:,Object with __enter__ and __exit__ for resource management,Decorator,Generator,Class method,A,2026-07-05 11:34:19.606476+05:30
17251,AI & ML,Python,Easy,any() does:,Returns True if any element is truthy,Returns True if all truthy,Returns False always,Counts truthy,A,2026-07-05 11:34:19.606476+05:30
17252,AI & ML,Python,Easy,all() does:,Returns True only if all elements truthy,Returns True if any truthy,Returns count,Returns False if empty,A,2026-07-05 11:34:19.606476+05:30
17253,AI & ML,Python,Medium,__len__ method:,Returns length of an object,Returns string,Returns type,Returns hash,A,2026-07-05 11:34:19.606476+05:30
17254,AI & ML,Python,Medium,@property decorator:,Accesses method like an attribute,Creates static methods,Deletes attributes,Overrides operators,A,2026-07-05 11:34:19.606476+05:30
17255,AI & ML,Python,Hard,Duck typing:,"If it behaves like a type, treat it as that type",Strict type checking,Explicit casting,Dynamic memory allocation,A,2026-07-05 11:34:19.606476+05:30
17256,AI & ML,Python,Hard,__slots__ in Python:,Restricts instance attributes to save memory,Adds all attributes,Enables multiple inheritance,Defines slots in memory,A,2026-07-05 11:34:19.606476+05:30
17257,AI & ML,Python,Hard,asyncio is for:,Writing async (non-blocking) I/O code,Multi-threading,GPU processing,File parsing,A,2026-07-05 11:34:19.606476+05:30
17258,AI & ML,Python,Hard,yield in a generator:,Pauses execution and returns value to caller,Ends function,Returns all values,Acts like return in loops,A,2026-07-05 11:34:19.606476+05:30
17259,AI & ML,Python,Medium,@classmethod receives:,cls as first argument (the class itself),self (instance),No arguments,Both cls and self,A,2026-07-05 11:34:19.606476+05:30
17260,AI & ML,Python,Hard,Monkey patching:,Dynamically modifying class/module at runtime,Fixing code bugs,Unit testing,Static analysis,A,2026-07-05 11:34:19.606476+05:30
17261,AI & ML,Python,Hard,__call__ enables:,Calling object like a function,Calling class,Calling superclass,Returning the object,A,2026-07-05 11:34:19.606476+05:30
17262,AI & ML,Python,Hard,Memoization:,Caching expensive function results,Memory management,Module caching,Variable storing,A,2026-07-05 11:34:19.606476+05:30
17263,AI & ML,Python,Medium,@functools.lru_cache:,Memoization decorator,Only in Python 3.9+,Least-recently-used memory,Loading cache from disk,A,2026-07-05 11:34:19.606476+05:30
17264,AI & ML,Python,Hard,async/await is used for:,Asynchronous coroutines,Multithreading,Multiprocessing,Parallel loops,A,2026-07-05 11:34:19.606476+05:30
17265,AI & ML,Python,Hard,__getitem__ enables:,Indexing with [],Iteration,Length check,String conversion,A,2026-07-05 11:34:19.606476+05:30
17266,AI & ML,Python,Medium,Type hinting:,Annotating variables/functions with expected types,Enforcing types at runtime,Converting types,Hiding types,A,2026-07-05 11:34:19.606476+05:30
17267,AI & ML,Python,Medium,dataclass decorator:,"Auto-generates __init__, __repr__, __eq__ etc.",Creates GUIs,Creates DB models,Adds slots,A,2026-07-05 11:34:19.606476+05:30
17268,AI & ML,Python,Hard,Threads vs processes in Python:,Threads share memory; processes have separate memory,Both share,Both separate,Processes faster always,A,2026-07-05 11:34:19.606476+05:30
17269,AI & ML,Python,Hard,multiprocessing bypasses GIL because:,Each process has its own Python interpreter,Processes run in one interpreter,GIL only affects I/O,GIL doesn't exist in multiprocessing,A,2026-07-05 11:34:19.606476+05:30
17270,AI & ML,Python,Hard,__hash__ controls:,Whether object can be used as dict key or set element,Equality,Ordering,Memory address,A,2026-07-05 11:34:19.606476+05:30
17271,AI & ML,Python,Hard,functools.partial:,Pre-fills some arguments of a function creating new function,Creates partial class,Reduces function,Wraps in decorator,A,2026-07-05 11:34:19.606476+05:30
17272,AI & ML,Python,Medium,Walrus operator (:=):,Assigns value within an expression,Creates variable separately,Compares values,Defines walrus type,A,2026-07-05 11:34:19.606476+05:30
17273,AI & ML,Python,Easy,f-string example:,f'Hello {name}',"format('Hello', name)",'Hello' % name,'Hello'.format(name),A,2026-07-05 11:34:19.606476+05:30
17274,AI & ML,Python,Easy,str.split() returns:,A list of substrings,A tuple,A generator,A set,A,2026-07-05 11:34:19.606476+05:30
