id,title,body,category,skill,difficulty,roles,source,created_at
101782,How do you perform a binary search on a sorted array?,"Binary search divides the search interval in half, repeatedly comparing the middle element to the target.",DSA,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101783,Discuss the advantages and disadvantages of different sorting algorithms.,Sorting algorithms vary in time/space complexity and stability. Quick Sort and Merge Sort are fast but more complex; Insertion and Bubble Sort are simple but slower.,DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101784,Explain how a hash table works.,"A hash table uses a hash function to map keys to values in an array, allowing fast O(1) access.",DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101785,What is dynamic programming?,"Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations.",DSA,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101786,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101787,Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101788,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101789,"Explain the use of ""this"" keyword in JavaScript.","""this"" in JavaScript refers to the execution context, varying based on function calling, global scope, or event handlers.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101790,What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.,Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101791,What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101792,Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Programming Languages,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101793,Explain the concept of multi-threading in Java.,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101794,What is a Singleton pattern?,"Singleton ensures a class has only one instance and provides a global access point to it, useful for shared resources.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101795,What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101796,"What is a database index, and why is it important?","A database index speeds up data retrieval, similar to a book's index, improving query performance.",Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101797,Explain the differences between SQL and NoSQL databases.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101798,What is a foreign key in a database?,"A foreign key links two tables by referring to the primary key in another table, ensuring referential integrity.",Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101799,Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Database,,Hard,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101800,How do you optimize a SQL query for better performance?,"Optimize using indexes, efficient SQL, limiting data retrieval, analyzing query performance, and considering denormalization.",Database,,Easy,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101801,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Database,,Hard,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101802,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101803,"What is a stored procedure, and when would you use one?","Stored procedures are precompiled SQL statements for data manipulation and logic, used for repetitive tasks and improving performance.",Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101804,"What is database denormalization, and when is it appropriate?","Denormalization introduces redundancy for performance, useful in read-heavy scenarios at the expense of storage and complexity.",Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101805,Discuss the advantages and disadvantages of using an ORM tool.,ORM simplifies database interactions and is language-agnostic. It can introduce performance overhead and may limit database features.,Database,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""QA Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101806,What is the Document Object Model (DOM)?,"The DOM is a tree-like representation of a web page's structure, allowing manipulation of content, structure, and style via programming languages.",Frontend,,Hard,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101807,Explain the difference between HTTP and HTTPS.,"HTTP is an unsecured data transmission protocol; HTTPS is secure, encrypting data in transit using SSL/TLS.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101808,What is CORS (Cross-Origin Resource Sharing)?,"CORS is a security measure allowing or restricting resources requested from another domain, managed via HTTP headers.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101809,Describe the purpose of a web server like Apache or Nginx.,"Web servers handle HTTP requests, serve content, manage security, routing, and can act as reverse proxies for application servers.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101810,"What is a cookie, and how does it work?","Cookies are data stored on the user's computer by the web server, sent with HTTP requests for session management, tracking, and storing preferences.",Frontend,,Hard,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101811,What is a session in web development?,"A session maintains stateful information across multiple HTTP requests, typically for user authentication and data storage.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101812,Explain the concept of responsive web design.,"Responsive design ensures web content functions across different devices and screen sizes, using CSS media queries and flexible layouts.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101813,Describe the differences between GET and POST requests.,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101814,What is the importance of SEO in web development?,"SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101815,How does a web browser render a web page?,"Browsers parse HTML to create a DOM, fetch resources, build a rendering tree, apply CSS, calculate layout, and paint the page on the screen.",Frontend,,Medium,"[""Frontend Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101816,"What is unit testing, and why is it important?","Unit testing evaluates individual code components, ensuring correctness and facilitating early defect detection.",Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101817,Explain the difference between black-box and white-box testing.,Black-box tests functionality without internal code knowledge; white-box tests internal code logic and structure.,Testing & QA,,Hard,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101818,What is regression testing?,"Regression testing ensures new code changes don't break existing features, maintaining functionality over updates.",Testing & QA,,Easy,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101819,Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.",Testing & QA,,Hard,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101820,What is continuous integration (CI) and continuous delivery (CD)?,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.,Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101821,Explain the concept of code coverage in testing.,"Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas.",Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101822,What is a test case and how do you write one?,"A test case outlines test conditions, inputs, and expected results, structured with objective, steps, and documentation.",Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101823,"What is load testing, and why is it necessary?","Load testing evaluates system performance under expected load conditions, identifying bottlenecks and scalability issues.",Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101824,Describe the differences between manual and automated testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.,Testing & QA,,Hard,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101825,What is a bug tracking system?,"A bug tracking system logs, manages, and resolves issues in software development, ensuring systematic problem handling.",Testing & QA,,Medium,"[""QA Engineer"", ""Software Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101826,"What is Git, and how does it work?","Git is a distributed version control system for tracking changes in source code, allowing collaborative work and branch management.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101827,Explain the difference between Git and SVN (Subversion).,"Git is distributed, with local repository copies; SVN is centralized, requiring network connectivity for repository access.",DevOps,,Hard,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101828,"What is a merge conflict, and how do you resolve it in Git?",Merge conflicts occur when changes in different branches clash. Resolve by manually editing files and committing the result.,DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101829,Describe the purpose of branching in version control.,"Branching isolates development work without affecting other parts of the repository, aiding in feature development and experimentation.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101830,"What is a pull request (PR), and how does it work?","A PR is a request to merge code from one branch to another, facilitating code review and discussion before integration.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101831,How do you handle code conflicts in a team project?,"Resolve code conflicts through communication, careful review, manual merging, testing, and documenting resolutions.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101832,"What is code refactoring, and why is it important?","Refactoring improves code structure and readability without altering functionality, enhancing maintainability and quality.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101833,Explain the role of Git branching strategies like GitFlow.,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101834,"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,DevOps,,Hard,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101835,Discuss the advantages of distributed version control systems.,"Distributed systems allow offline work, flexible branching/merging, faster operations, redundancy, and collaborative workflows.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101836,Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101837,"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101838,Explain the importance of caching in web applications.,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101839,What is a CDN (Content Delivery Network)?,"A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101840,Discuss the pros and cons of monolithic vs. microservices architecture.,Monolithic is simple but less scalable; microservices offer scalability and flexibility but are complex to manage.,System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101841,What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.",System Design,,Hard,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101842,Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.",System Design,,Easy,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101843,How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.",System Design,,Hard,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101844,Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101845,"What is a message broker, and when would you use one?","A message broker facilitates communication in distributed systems through asynchronous messaging, used in event-driven architectures and high-volume scenarios.",System Design,,Medium,"[""Backend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101846,"What is SQL injection, and how can it be prevented?","SQL injection exploits vulnerabilities to execute malicious SQL. Prevent with parameterized queries, input validation, and least privilege access.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101847,Explain the concept of Cross-Site Scripting (XSS).,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101848,What is two-factor authentication (2FA)?,2FA adds extra security by requiring two verification forms: something known (password) and something possessed (device).,Security & Networking,,Hard,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101849,Describe the process of password hashing and salting.,"Hashing transforms passwords into hashes using algorithms; salting adds randomness, enhancing security against attacks.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101850,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101851,How do you protect against session fixation attacks?,"Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101852,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Security & Networking,,Hard,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101853,What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101854,How can you secure sensitive data in a mobile app?,"Secure data by encrypting at rest and in transit, using secure authentication, and following best practices.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101855,Discuss the importance of security in API design.,"API security is vital to protect data and prevent unauthorized access, using authentication, validation, rate limiting, and encryption.",Security & Networking,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101856,"What is Docker, and how does it work?","Docker is a containerization platform packaging applications with dependencies, ensuring consistent environments across systems.",DevOps,,Medium,"[""DevOps Engineer"", ""Software Engineer"", ""Data Engineer"", ""Full Stack Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
